"Gene","Instability_Score"
"Prdx6",37.2472978426334
"Dync1h1",30.205376781187
"LOC128117580",26.7936470697374
"Rab11a",25.4556639450611
"Abi2",24.0159331726035
"Slc9c2",22.3931901631687
"Idh3b",22.3049480365115
"Specc1",21.7198480521106
"Tcf25",21.4886777030478
"Ptpra",21.0342590388202
"Ppp2r5c",21.0293297979666
"Map2k1",19.9257622857147
"Zfr",19.9244179967288
"Raph1",19.0743719053828
"Smad2",18.8814125213869
"Vps16",18.637872728012
"Spry2",18.431307670728
"Acadm",17.7056620258627
"Fcgrt",17.5132984346828
"Scaf1",17.3438893982355
"Ppp1r16b",17.3319595934229
"LOC128121893",17.0803487102693
"Mecr",16.8520299166443
"Spata2",16.7266691543918
"Smarcal1",16.7192465507868
"Ebf4",16.6720945725257
"Rbm8a",16.4363873929222
"Ube2v1",16.4304368399251
"Rps19bp1",16.3961093966482
"Rnf114",16.329878977332
"Akap10",16.3197386703859
"Snapc5",16.2843865761306
"Adora2b",15.9820117616787
"Phf12",15.9633386444014
"Syngr1",15.7813141710641
"Ypel5",15.5504539090086
"Zswim6",15.5466524246739
"Cd1d",15.5069977935981
"Smg8",15.4571110074324
"LOC128105470",15.4066037419342
"Cep295",15.025853607066
"Ifi35",14.8894321318507
"Nedd4",14.7907691468067
"Bmpr2",14.7726873586441
"Mustn1",14.7646661160349
"Smim15",14.6826279010452
"Crot",14.6274163088797
"Vps36",14.51395826046
"Irf3",14.4432893277693
"Kirrel1",14.394960503837
"Srsf4",14.2850024011447
"Megf11",14.2346278578236
"Loxl4",14.2027285600107
"Tmem200b",14.1432294813282
"Rbm26",14.1018524270818
"Chmp5",14.0650038522367
"Dr1",14.0619352969296
"Sfmbt1",14.0375198966902
"Snai1",13.9493751516722
"Pard3b",13.9190809778992
"Pkia",13.9001169177305
"Pigg",13.859529752622
"Tab1",13.8034562179736
"Epb41",13.7987340412649
"Ercc8",13.6934146795717
"Cryz",13.6522088178991
"Gabrg3",13.6075966755319
"Ncdn",13.5246513082799
"Cenpv",13.401234204979
"Dhrs13",13.3861722065268
"Thsd1",13.3523585259194
"Ptpru",13.3378547381684
"Got2",13.3064766880648
"Nbeal1",13.2786659545849
"Tars1",13.2138326617931
"Psma6",13.1014015880495
"Hsp90aa1",13.0959669646488
"Lbh",13.0694682617068
"App",13.0503221374085
"Rft1",13.0220273819312
"Kiaa0319l",12.9506370528572
"Dennd4a",12.9431707985944
"Prkcb",12.9182300323602
"Smap1",12.8528086935989
"Urod",12.8344486949989
"Prorp",12.8301242814397
"LOC128099286",12.7973132078964
"Stimate",12.7761147574718
"Sub1",12.7461960121292
"Nek8",12.6764309262442
"Sphk1",12.5933908917581
"Sema3a",12.5499935888188
"Mrps26",12.5237604170581
"Penk",12.5147252840007
"Tmem268",12.5059539656316
"Acer2",12.4639460813636
"Mrap",12.4536241903855
"Ttc19",12.4180165525216
"Hectd3",12.3533011313399
"Nfx1",12.3364493976346
"Ndufaf2",12.2577903412196
"Ulk2",12.2261787718666
"Pgrmc1",12.1741068130351
"Il1rn",12.0939773215686
"Tram1",12.048520729285
"Rpl37a",12.0417313470505
"Slc3a2",12.0383785197056
"Kng1",12.0056096463054
"Npr3",11.8532132409592
"Wsb1",11.8473352490277
"Pex11b",11.8318060380566
"Bag1",11.792656503054
"Ralgapb",11.7533732681343
"Prkcd",11.6979805636197
"Rras",11.6328879605723
"Ltbp1",11.6322982603605
"Efnb3",11.6169228435159
"Cdk14",11.60202514232
"Nelfe",11.569433979837
"LOC128098955",11.5694296490928
"Herc2",11.5020770959326
"Med22",11.4823863677504
"Psma1",11.3894498674744
"Il4r",11.3710822381968
"Klk7",11.3671285722333
"Pcf11",11.3431102591461
"Igfbp2",11.2986336266993
"Vps13b",11.2635292745483
"Camk2d",11.2526685752178
"Erich3",11.2354109693039
"Plagl1",11.2282725535459
"Sulf1",11.2214978277886
"LOC128110757",11.1061934132371
"Mgat3",11.0954365375491
"Cldn18",11.0856011612682
"Tipin",11.0819641504497
"Sh3rf1",11.0810339976811
"Mtmr12",11.0763538352054
"Ctnnb1",11.0584279814695
"Foxn3",11.0534647040089
"Rarres2",11.0497167798814
"Ypel2",11.0130449144166
"Ints14",11.0122121455469
"Shtn1",10.9839126451601
"Prkab1",10.8870921604329
"Urb1",10.8103330766465
"Vat1",10.7925506811145
"Lrba",10.7529586382269
"Pde3b",10.7456635125464
"Nsmce1",10.7378428745128
"Lix1l",10.7191043220793
"Srpk2",10.712123518532
"Lrig1",10.6984608203243
"Eif2b3",10.6820699935559
"Zswim7",10.6655212581815
"Plekhg1",10.6526863221129
"Iqsec2",10.6408008140269
"Pam",10.6200570448685
"Ago2",10.6189145677363
"Susd6",10.5850919247057
"Ankrd42",10.5585695653284
"LOC128103495",10.5538654084053
"Ksr1",10.5182237154636
"Cfap43",10.4909839363989
"Cys1",10.4704623656648
"Matr3",10.4140568964145
"Atp8b1",10.4004131219002
"Gdpd1",10.3903446828265
"Cldn10",10.372982331014
"Sema3e",10.3675051629439
"Spire2",10.3571954245735
"Traf4",10.3151028265901
"LOC128121212",10.3089334903337
"LOC128125717",10.2806696339384
"Txn",10.2484717942378
"Pdlim5",10.2481792376528
"Surf6",10.2153354003123
"Tusc3",10.2027777826974
"Cyyr1",10.1645179443279
"Polr3h",10.1422328111076
"Lix1",10.1138069054354
"R3hcc1l",10.112620141292
"Cnot1",10.1124085322217
"Wdr70",10.1028844229401
"Zcchc17",10.096747583024
"Il21r",10.0922299558313
"LOC128114330",10.0864227720993
"Zc2hc1a",10.015205627347
"Rpl27",10.0098209818398
"Dsg2",9.98477188213663
"Dhx35",9.97597467558865
"Klk8",9.96595846174725
"LOC128119147",9.95579064891406
"Prodh",9.94952917221413
"Cnot7",9.94948333458998
"Atf4",9.93397272981245
"Smarcd2",9.93244999899392
"Ank2",9.93073794279451
"Tbx2",9.92797449838683
"Tubb3",9.89418783851119
"Dcun1d5",9.89242215521543
"Chchd1",9.89121225844188
"Ngly1",9.88824932558368
"Psd4",9.88146503162492
"Tinagl1",9.84490277767259
"Fam117b",9.81236191713549
"Chrac1",9.74068745902878
"Klf11",9.7272117263525
