"Gene","log2FC","p_val","Instability_Score","Significant"
"Alb",-0.0567050051888778,0.567634372001321,64.3778047034782,"Non-Significant"
"LOC102916574",-0.0317726530083462,0.791524700841859,43.5853423443123,"Non-Significant"
"LOC102922186",-0.120157071781939,0.396495807467586,42.9782966069102,"Non-Significant"
"C3",-0.0925525182927558,0.446514676362852,42.7526900935924,"Non-Significant"
"Sparcl1",0.060389995254992,0.866830172783836,39.8033531636434,"Non-Significant"
"Apoa1",0.234996511557977,0.284422130776917,37.4861154688018,"Non-Significant"
"LOC102924626",-0.0592931702756445,0.709447801543211,37.169633385598,"Non-Significant"
"LOC102929108",-0.242081606649815,0.383769227590061,37.0934298988738,"Non-Significant"
"Eif3h",0.250186667712127,0.256780341700185,36.1798581360951,"Non-Significant"
"B3EWD4",0.971010245957856,0.0728479204156782,36.0104861868593,"Non-Significant"
"LOC102916060",0.924179383096183,0.156479010500521,34.8486385056823,"Non-Significant"
"LOC10",-0.285077723939651,0.406790127099834,32.6717681598949,"Non-Significant"
"Apob",0.0100222096608285,0.970923237007019,31.9521270223102,"Non-Significant"
"Plg",-0.11540277090501,0.00931590454862852,30.8044837530611,"Non-Significant"
"Apoa4",0.174612904190589,0.160416130159077,30.4916614370794,"Non-Significant"
"Cp",-0.179332738244604,0.0795256817126397,29.0239903812,"Non-Significant"
"LOC102920593",-0.196908053266853,0.450477858089238,28.070999469268,"Non-Significant"
"Hpx",-0.0739213996516206,0.600842590958504,26.9705043313054,"Non-Significant"
"C5",-0.19132033359454,0.0953924583319169,26.6843268279282,"Non-Significant"
"LOC102920046",0.0300803200493256,0.940433816589229,24.8621169376814,"Non-Significant"
"Vasn",0.0951891054492062,0.804787177352262,23.7820994333306,"Non-Significant"
"Fn1",0.02292425218101,0.854965932201277,23.5960125763391,"Non-Significant"
"Cfb",0.0698105003075398,0.484491381022154,23.1362154238714,"Non-Significant"
"HBA.1",1.00310113187343,0.0411514470937007,23.102208672221,"Significant"
"C4a",-0.0485336683755797,0.875198360933505,22.951319756682,"Non-Significant"
"Dsg2",0.141602021167676,0.397763737335039,22.8999012840546,"Non-Significant"
"LOC102913851",0.419097519635249,0.31343350241348,22.5221606067746,"Non-Significant"
"Tnc",0.39108736407886,0.209039217207568,22.4008083290138,"Non-Significant"
"Gc",-0.00623391204525703,0.96598158663496,22.2541527998874,"Non-Significant"
"Itih1",-0.185368771818045,0.0070239303652296,21.8541017811737,"Non-Significant"
