"Sample","Group","Shannon_Standard","Shannon_Rarefied","Simpson","Richness","Evenness"
"B_1","Bonded",8.09569274362832,8.0631506874143,0.997482733242134,21396,0.811927170326855
"B_2","Bonded",8.10249781428089,8.07129816615875,0.997499717169651,21606,0.811814445567045
"B_3","Bonded",8.09530547373232,8.06408789146634,0.997567834360182,21381,0.811945439056833
"B_4","Bonded",8.1059749327415,8.07221387980488,0.997794208406096,21800,0.811436092288852
"B_5","Bonded",8.09074847675465,8.05982191802209,0.99775854061804,20892,0.813375849878963
"B_6","Bonded",8.0973366333988,8.0664941900624,0.997723085047497,21689,0.810985784959138
"BD_1","Bond Disrupted",8.13469271164922,8.101028809137,0.997898769691113,22375,0.812194163433985
"BD_2","Bond Disrupted",8.0988437887173,8.06634812798511,0.997706170319214,21824,0.810632952956201
"BD_3","Bond Disrupted",8.12793728381103,8.09813765352773,0.997899226880452,21819,0.813563650132135
"BD_4","Bond Disrupted",8.09974216370619,8.06785478108358,0.997612646893907,22043,0.809913442882944
"BD_5","Bond Disrupted",8.12194498915973,8.08917986197587,0.997874321697487,22185,0.811612437760965
"BD_6","Bond Disrupted",8.10478859732271,8.07098662481716,0.997701969467046,21705,0.811672186045851
"V_1","Virgin",8.1005645761929,8.06756065500858,0.997869676549251,21955,0.810319796724712
"V_2","Virgin",8.10345559780197,8.06938408187663,0.997708639828702,22045,0.810277407526356
"V_3","Virgin",8.12547504547163,8.09500077577935,0.9979209767733,21614,0.81408641019875
"V_4","Virgin",8.08289391670027,8.04776027020323,0.997640220262638,21861,0.808899341705928
"V_5","Virgin",8.09243598042934,8.05766998277414,0.997656061257676,21994,0.809362981683144
"V_6","Virgin",8.02788404238384,7.99382872269923,0.996847109011936,22202,0.802151683994693
"C_1","Control (FBS)",8.16733504007582,8.13167506842045,0.99785282412378,23557,0.811283440164756
"C_2","Control (FBS)",8.09720028830776,8.06442054041734,0.997409136249397,22713,0.80724238184435
"C_3","Control (FBS)",8.10376302099325,8.06700398083599,0.997536627607435,23001,0.806883065484877
"C_4","Control (FBS)",8.0923510084802,8.059289539541,0.997473727861402,22897,0.806110521619766
"C_5","Control (FBS)",8.07203714653522,8.03723506048649,0.997363918782567,22739,0.8046419927611
"C_6","Control (FBS)",8.06557321815693,8.03344998830139,0.997204563169406,22569,0.804599525014562
