"Gene","Instability_Score"
"EGR1",3.2045323700202
"FOS",2.28822238204572
"FGG",2.21564020827838
"CTGF",1.93760758685569
"RNU6-415P",1.91734341991262
"FGA",1.90744623610063
"MIR4470",1.75059605434268
"FGB",1.67364709555057
"MIR6772",1.63851785352817
"MIR570",1.61730834121714
"RASD1",1.50933305970825
"MIR5587",1.49507914408031
"RP11-927P21.4",1.48569160353402
"HES1",1.46968219663083
"MIR3685",1.46574632851953
"SNORD116-1",1.4417080308446
"MIR186",1.41834328883449
"PPP1R15A",1.41817579876901
"MIR4740",1.35651790928819
"SNORD83A",1.35290964381544
"ZFP36",1.35245355112611
"FOSB",1.30824904505333
"MIR23A",1.29867340849417
"MIR320E",1.28030488485798
"RNU7-123P",1.26668766795953
"MIR8075",1.2531292030683
"MIR3648-1",1.25007027065803
"MIR4787",1.219693213768
"MIR4482",1.19229034464092
"SOCS3",1.18260200761673
"NR4A1",1.17336450825927
"SNORD100",1.1657773293261
"RNU6-33P",1.1647723141922
"RNU6-807P",1.1434428493322
"EGR2",1.11711879135538
"RNU7-71P",1.10226897969139
"KLF2",1.06281572024227
"MIR4479",1.06058116843095
"MIR4449",1.04944047324352
"LGALS2",1.03552468485616
"DUSP1",1.02116574801394
"MIR4730",1.00047179246938
"RNY3P8",0.976815564670634
"AL445183.1",0.956994098159244
"SNORD116-7",0.940391379109758
"SNORD116-2",0.926247171379789
"MIR3936",0.92494159736094
"RNU6-4P",0.922736535453186
"LBP",0.91673142314859
"SNORA3B",0.912280849054901
"RNU6-26P",0.898662087023639
"SNORD14A",0.884224346543206
"CFI",0.880229222367554
"DUSP5",0.877991476900136
"SNORD116-3",0.869597804272089
"RNU6-850P",0.862064501394401
"RNU7-3P",0.859948036447605
"MIR31",0.853644669247116
"MIR573",0.85141926316677
"SNORA5A",0.848922488471584
"AC024060.1",0.845369124288075
"ATF3",0.843728981521292
"RNU6-247P",0.842453198986979
"SNORA5C",0.832527785536522
"JUNB",0.830296374663893
"SNORD104",0.819837098816508
"RNA5SP283",0.804775746091086
"MIR6719",0.803024016632212
"AC091180.1",0.795390283049306
"CA9",0.793184804676827
"MIR3687-1",0.771205996305741
"MIR30C2",0.769621493833642
"KLF10",0.769574231533519
"RNA5SP323",0.765273366256523
"MIR196A1",0.763725746557195
"RNU6-875P",0.756998991798627
"SNORD121A",0.753966379815717
"RNU6-438P",0.744198470375835
"SCARNA23",0.744043206960852
"MIR3146",0.74233544211595
"RHOB",0.734753219547637
"MIR6728",0.733186545459657
"IER2",0.732762200748567
"AC055866.1",0.73144224053973
"MIR4747",0.729187333776985
"MIR3186",0.726127219479616
"SNORA50A",0.723736035126861
"CYR61",0.721895797797568
"MIR22HG",0.720791111645152
"SLC51B",0.718827596052673
"RND1",0.707181171691013
"RNU6-722P",0.70107525706681
"MIR5685",0.700503505064482
"MIR4530",0.695845253638467
"RBP4",0.693635425744139
"RNU7-49P",0.692172240371984
"RNU6-9",0.687389668223006
"SNORD116-8",0.681942800613854
"RNU6-1016P",0.67833827325366
"CP",0.676121118908784
"RNA5SP474",0.674445017887379
"RNU6-387P",0.669841996314729
"GADD45B",0.669390500581976
"RP11-242D8.2",0.664466453769521
"SNORD14E",0.664129827438858
"JUN",0.664057694580954
"SNORD117",0.663963428575856
"RNA5SP483",0.663654553814343
"AC087350.1",0.660300679322809
"SNORD101",0.653004023841666
"TM4SF20",0.652966512093359
"AC104650.1",0.65244177881436
"SNORD116-23",0.650961049859182
"RNU6-3P",0.650317007125765
"SNORD71",0.649851392250431
"RNU6-481P",0.648932064689864
"RMRP",0.645506501856711
"HIST1H4C",0.643580405250749
"SLC7A7",0.64204103091735
"MIR1276",0.635299621688903
"BMPR1B-AS1",0.634848842914448
"RP11-478C6.4",0.627751807504426
"RPL39P36",0.627620408212902
"AC242988.1",0.627100522536132
"ANXA13",0.624998189816582
"SNORD93",0.620148996656836
"MIR27B",0.619147092293448
"SNORA65",0.619038689168649
