"Gene","PC1","PC2"
"NAA50",0.00084448691439023,0.018713497586023
"TSR1",0.00200469838340127,0.018277290774065
"EREG",-0.00135266617189335,0.018198826286354
"ODC1",0.000235515123516902,0.0181726056121641
"NOLC1",0.000780688116484459,0.0180325552998002
"LETM1",0.000790430930465278,0.018007549339497
"NCL",-0.000613870831222045,0.017978400671562
"LYAR",-0.00226081742467465,0.0179682871652723
"WDR3",-0.00127706786159773,0.0178384477609895
"DDX21",0.000696534346289354,0.01779914310959
"FKBP4",-0.000706732380584281,0.0176580894411367
"RAD23B",0.00231696732356905,0.0175845309153316
"SEMA3B",-0.000938831831706738,-0.0175456312727376
"DKC1",-0.000323505656445359,0.0175396036985249
"CACYBP",-0.0021040905952358,0.0174889067822399
"GEMIN4",0.000545861434156146,0.017471949039003
"BCCIP",-0.00150412040828253,0.0173719956374986
"HSP90AA1",0.00307172264303778,0.0172595977922971
"CCT6A",0.0014709420013145,0.0170910146236098
"PSMD12",0.00555407807211279,0.0170783794266495
"UCHL5",-0.00246612815237496,0.0170636098585178
"NBEA",-6.70985892270629e-05,-0.0170451126931513
"B3GNT7",-0.000703111638171125,-0.0170079022155714
"BMS1",-0.00184027499014091,0.0170042746880287
"YBX1",-0.00308108124813175,0.0169734404618663
"GTPBP4",-0.00535263848337775,0.016944446932458
"HSPD1",-0.00512018485867762,0.0168710801997018
"LLGL2",0.000351830666628467,-0.0168476431268926
"NAA15",-0.00180416526100643,0.0168328093344772
"FABP5",-0.0014207653643228,0.0167746938340135
"HAUS6",0.00436542731506152,0.0167679633238203
"EIF2S1",-0.00187817763074622,0.0166641276440405
"IMP4",-0.00173500454813089,0.0166533870654928
"PPAT",-0.00128833619164186,0.0166274682894633
"NSUN2",0.000527200183186039,0.0166168264238096
"AREG",-0.00339281730825667,0.0165662866383434
"SERBP1",0.00255218947512671,0.0165659158743457
"HSDL2",0.00470068633099261,0.0165201785170941
"ETF1",0.000713187203609059,0.0165128382438488
"SLC16A1",0.0014239172700957,0.0165091738449421
"LRRC59",-9.08203803151693e-05,0.0164878710329524
"ZNF362",-0.00190496422124788,-0.0164738091018025
"MET",-0.00225769932209463,0.0164611706448463
"TMEM33",5.70564965735082e-05,0.0164298735726712
"CYCS",0.00304749330622286,0.0163623053365255
"ZNF608",0.00216921797373364,-0.0163486922621947
"PRMT3",-0.00127260340116672,0.0163423159683634
"MB",-0.000332694920097479,-0.0163270383711976
"PSMA7",-0.00219023231078825,0.016325391617492
"MRPL4",5.28854330904054e-05,0.0163118606798603
"DHX34",-0.00120588181232232,0.0162905810657006
